,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2018-01-01,31.97,30.64,29.16,29.72,30.23,35.94,46.08,79.75,59.58,78.29,94.58,49.99,49.32,36.51,34.61,32.06,37.48,112.02,233.77,114.29,60.57,68.79,46.55,41.63
2018-01-02,48.28,36.28,49.24,42.16,42.87,39.58,44.61,116.85,73.34,124.47,205.91,85.87,67.13,51.56,37.09,33.89,38.76,112.23,294.99,120.33,125.64,54.8,78.83,41.02
2018-01-03,43.73,40.48,39.85,34.98,43.85,52.47,44.38,58.64,58.91,65.21,66.06,64.65,60.69,60.54,54.64,51.23,51.11,62.24,82.22,84.2,76.81,80.72,71.78,62.42
2018-01-04,125.69,66.86,64.9,64.05,95.66,56.92,109.05,101.21,101.76,77.43,78.49,88.12,73.03,67.89,58.54,54.03,53.28,58.68,76.28,83.94,79.71,82.71,77.1,64.69
2018-01-05,51.05,48.68,48.08,47.83,48.56,52.3,54.11,63.86,90.2,76.22,42.08,39.51,35.14,29.16,20.63,-17.77,10.34,30.12,34.85,39.85,51.4,44.13,45.45,41.96
2018-01-06,63.57,56.56,51.37,36.36,35.08,34.44,34.22,44.61,43.5,41.34,26.51,16.62,23.1,22.95,21.73,21.21,20.86,21.77,10.27,29.82,25.47,28.84,19.4,26.66
2018-01-07,23.7,24.92,27.71,60.64,22.68,34.38,31.67,28.9,27.61,25.44,25.33,25.38,25.61,23.89,23.92,24.38,24.04,64.76,34.04,28.08,25.08,25.23,23.75,22.16
2018-01-08,22.26,21.88,21.48,21.49,22.56,22.49,24.99,30.29,37.41,31.66,74.99,76.88,28.15,30.31,29.84,26.92,27.12,37.44,43.55,31.12,31.9,29.46,24.41,23.24
2018-01-09,23.66,23.11,24.0,23.96,23.55,23.97,32.89,77.52,30.73,31.67,40.52,28.47,28.46,26.29,25.02,24.29,26.01,34.81,29.61,38.51,25.96,24.91,23.0,22.01
2018-01-10,21.47,21.25,21.08,21.41,21.39,21.22,22.32,24.25,24.37,24.13,24.23,23.54,23.53,23.52,23.98,23.22,25.29,31.29,27.73,30.76,26.02,25.15,23.25,22.34
2018-01-11,21.6,20.55,20.28,19.16,17.91,19.87,25.52,24.37,23.3,23.44,23.46,23.99,24.0,23.78,24.12,23.71,23.88,26.68,28.69,28.36,28.37,27.12,24.02,23.29
2018-01-12,21.63,20.99,21.64,20.87,22.2,23.19,26.13,130.8,83.57,64.72,38.14,45.24,35.61,31.47,31.42,33.77,31.32,34.88,182.77,78.45,41.88,39.5,35.27,32.54
2018-01-13,30.64,30.14,31.2,29.39,28.7,60.09,63.92,49.23,80.42,109.39,57.66,51.25,38.32,35.0,31.01,30.27,31.28,37.32,111.88,65.73,59.73,60.93,44.29,47.17
2018-01-14,62.51,52.96,71.21,75.17,67.92,70.96,228.88,900.71,272.41,97.56,38.31,33.28,29.57,27.87,26.33,26.56,25.82,27.66,32.52,30.81,37.89,35.78,34.61,32.91
2018-01-15,32.12,32.54,33.42,37.76,35.21,42.93,39.86,49.79,49.53,38.45,39.74,31.44,30.47,29.25,28.39,27.01,26.86,28.41,34.59,33.91,33.51,33.67,32.26,29.19
2018-01-16,29.8,29.89,30.34,32.2,32.57,34.46,44.12,50.09,42.49,52.11,62.09,64.5,53.0,54.81,40.61,47.8,45.54,64.6,202.8,161.94,152.54,82.41,60.75,55.26
2018-01-17,60.86,60.74,133.87,221.46,199.3,355.69,567.77,779.27,364.62,374.29,467.58,259.93,90.98,60.12,46.75,46.16,40.72,45.32,59.9,60.68,112.47,79.89,69.12,42.21
2018-01-18,41.08,45.24,49.26,57.37,47.55,51.59,192.74,224.53,213.17,145.19,76.49,30.0,27.91,26.53,25.85,24.56,24.37,26.35,29.26,34.53,43.91,36.7,34.47,28.5
2018-01-19,30.83,27.0,27.38,28.6,29.22,28.97,32.66,41.58,37.65,30.23,27.18,26.72,25.78,24.41,23.26,22.28,22.26,23.91,25.05,25.4,25.56,24.92,24.82,23.96
2018-01-20,23.74,23.99,23.41,23.81,23.68,24.28,26.88,26.33,27.28,25.34,25.62,24.77,24.16,23.12,22.38,22.01,22.12,22.77,24.3,24.19,23.2,22.9,22.86,22.35
2018-01-21,21.93,21.68,21.59,21.38,21.13,21.07,21.35,21.92,22.58,23.26,23.29,23.62,23.02,22.6,22.66,22.14,22.12,22.92,32.4,25.26,23.97,23.13,21.7,20.54
2018-01-22,18.51,14.38,10.68,15.97,17.04,20.19,21.84,24.23,24.67,25.69,24.68,24.96,25.0,24.37,24.0,23.45,23.38,24.14,27.19,27.39,25.23,24.23,23.3,22.17
2018-01-23,21.32,20.46,20.31,20.56,21.33,22.77,46.66,31.34,29.72,27.61,25.98,26.97,27.28,24.64,24.21,24.15,24.79,25.27,30.2,34.76,32.74,31.13,26.53,25.93
2018-01-24,25.86,25.29,25.13,25.04,25.64,27.37,29.67,72.17,38.47,33.74,38.95,29.52,27.42,25.23,21.91,25.13,25.14,25.17,28.17,32.48,30.77,32.22,29.49,25.26
2018-01-25,25.85,25.82,26.07,26.34,27.92,30.16,43.92,215.57,79.94,37.29,34.64,33.2,31.78,30.39,25.9,25.03,24.33,24.83,28.19,31.51,33.19,32.04,33.01,28.38
2018-01-26,25.94,24.95,24.91,24.88,26.11,26.22,28.3,51.29,31.31,31.59,29.52,26.34,24.53,24.02,23.11,23.21,24.11,25.8,44.54,27.28,27.43,24.22,23.83,21.75
2018-01-27,21.34,22.31,21.56,21.42,22.07,22.64,22.55,23.02,25.08,28.33,29.4,30.62,27.82,25.56,25.02,24.47,24.43,29.65,35.77,31.27,31.66,28.97,25.73,24.5
2018-01-28,23.5,22.73,22.58,22.07,22.33,22.43,21.99,22.4,23.11,23.8,24.13,24.17,23.9,23.33,22.59,22.57,22.46,23.42,26.46,27.29,27.93,26.38,24.84,24.28
2018-01-29,24.05,23.64,24.01,23.75,23.74,23.91,26.3,33.85,32.39,32.7,31.2,31.01,30.26,27.93,27.39,26.01,26.41,28.9,41.43,40.84,39.04,31.75,27.79,26.32
2018-01-30,26.31,25.8,26.29,25.61,26.76,27.51,29.3,85.47,43.58,67.93,41.39,31.88,29.65,28.75,27.25,26.09,26.4,28.28,34.53,147.48,294.74,42.86,34.47,58.64
2018-01-31,29.27,30.44,31.73,52.48,37.47,37.98,53.02,120.72,32.43,31.7,28.54,29.73,28.34,27.44,26.81,25.42,25.6,27.46,33.28,38.43,36.04,36.64,34.58,23.85
2018-02-01,22.61,22.15,21.8,21.83,21.83,20.72,22.11,25.18,23.69,36.66,25.15,24.08,23.25,23.18,23.25,22.85,22.91,23.21,26.88,29.48,29.66,29.27,27.88,25.12
2018-02-02,23.71,23.8,24.71,23.97,23.68,23.38,25.85,38.79,32.72,36.35,45.56,50.34,29.66,26.36,24.94,23.65,22.98,24.55,45.87,28.35,29.3,28.55,28.06,28.79
